#
#
# US Geological Survey, Water Resources Data
# retrieved: 2020-08-20 14:53:44 EDT      (caww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/co/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 09070500 COLORADO RIVER NEAR DOTSERO, CO
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		18624	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	09070500	00060	18624	1990	3	788.9
USGS	09070500	00060	18624	1990	4	1368
USGS	09070500	00060	18624	1990	5	1823
USGS	09070500	00060	18624	1990	6	3003
USGS	09070500	00060	18624	1990	7	1603
USGS	09070500	00060	18624	1990	8	1517
USGS	09070500	00060	18624	1990	9	1391
USGS	09070500	00060	18624	1990	10	1096
USGS	09070500	00060	18624	1990	11	982.7
USGS	09070500	00060	18624	1990	12	843.9
USGS	09070500	00060	18624	1991	1	795.2
USGS	09070500	00060	18624	1991	2	751.3
USGS	09070500	00060	18624	1991	3	689.5
USGS	09070500	00060	18624	1991	4	1267
USGS	09070500	00060	18624	1991	5	3650
USGS	09070500	00060	18624	1991	6	4542
USGS	09070500	00060	18624	1991	7	1943
USGS	09070500	00060	18624	1991	8	1418
USGS	09070500	00060	18624	1991	9	1351
USGS	09070500	00060	18624	1991	10	1114
USGS	09070500	00060	18624	1991	11	1104
USGS	09070500	00060	18624	1991	12	989.7
USGS	09070500	00060	18624	1992	1	927.1
USGS	09070500	00060	18624	1992	2	958.9
USGS	09070500	00060	18624	1992	3	1031
USGS	09070500	00060	18624	1992	4	1709
USGS	09070500	00060	18624	1992	5	2995
USGS	09070500	00060	18624	1992	6	2249
USGS	09070500	00060	18624	1992	7	1327
USGS	09070500	00060	18624	1992	8	1451
USGS	09070500	00060	18624	1992	9	1199
USGS	09070500	00060	18624	1992	10	855.6
USGS	09070500	00060	18624	1992	11	892
USGS	09070500	00060	18624	1992	12	812.3
USGS	09070500	00060	18624	1993	1	822.6
USGS	09070500	00060	18624	1993	2	775.1
USGS	09070500	00060	18624	1993	3	887.6
USGS	09070500	00060	18624	1993	4	1480
USGS	09070500	00060	18624	1993	5	6371
USGS	09070500	00060	18624	1993	6	8013
USGS	09070500	00060	18624	1993	7	4130
USGS	09070500	00060	18624	1993	8	1570
USGS	09070500	00060	18624	1993	9	1269
USGS	09070500	00060	18624	1993	10	1161
USGS	09070500	00060	18624	1993	11	1042
USGS	09070500	00060	18624	1993	12	931.3
USGS	09070500	00060	18624	1994	1	851
USGS	09070500	00060	18624	1994	2	891.8
USGS	09070500	00060	18624	1994	3	1073
USGS	09070500	00060	18624	1994	4	1525
USGS	09070500	00060	18624	1994	5	3103
USGS	09070500	00060	18624	1994	6	2504
USGS	09070500	00060	18624	1994	7	1348
USGS	09070500	00060	18624	1994	8	1313
USGS	09070500	00060	18624	1994	9	1106
USGS	09070500	00060	18624	1994	10	1041
USGS	09070500	00060	18624	1994	11	732.5
USGS	09070500	00060	18624	1994	12	729.5
USGS	09070500	00060	18624	1995	1	652.4
USGS	09070500	00060	18624	1995	2	665.8
USGS	09070500	00060	18624	1995	3	830.3
USGS	09070500	00060	18624	1995	4	1142
USGS	09070500	00060	18624	1995	5	2657
USGS	09070500	00060	18624	1995	6	9997
USGS	09070500	00060	18624	1995	7	8987
USGS	09070500	00060	18624	1995	8	2842
USGS	09070500	00060	18624	1995	9	1397
USGS	09070500	00060	18624	1995	10	1300
USGS	09070500	00060	18624	1995	11	1459
USGS	09070500	00060	18624	1995	12	1141
USGS	09070500	00060	18624	1996	1	991
USGS	09070500	00060	18624	1996	2	1101
USGS	09070500	00060	18624	1996	3	1764
USGS	09070500	00060	18624	1996	4	4033
USGS	09070500	00060	18624	1996	5	8061
USGS	09070500	00060	18624	1996	6	8463
USGS	09070500	00060	18624	1996	7	3693
USGS	09070500	00060	18624	1996	8	1604
USGS	09070500	00060	18624	1996	9	1427
USGS	09070500	00060	18624	1996	10	1283
USGS	09070500	00060	18624	1996	11	1219
USGS	09070500	00060	18624	1996	12	1116
USGS	09070500	00060	18624	1997	1	1140
USGS	09070500	00060	18624	1997	2	1139
USGS	09070500	00060	18624	1997	3	1611
USGS	09070500	00060	18624	1997	4	2222
USGS	09070500	00060	18624	1997	5	7875
USGS	09070500	00060	18624	1997	6	12780
USGS	09070500	00060	18624	1997	7	3738
USGS	09070500	00060	18624	1997	8	2971
USGS	09070500	00060	18624	1997	9	1775
